Q No.,Question - general,Parameters,Region(s) Applicable - Assumption,Question - specific,Source,Region(s) Applicable - Known
1,N/A,,,So why are we having an election now — during a pandemic? ,https://www.tvo.org/article/your-federal-election-questions-answered,
2,N/A,,,Could a Governor General actually refuse to dissolve Parliament? ,https://www.tvo.org/article/your-federal-election-questions-answered,
3,How do I register to vote in <country>? ,<country>,,How do I register to vote? ,https://www.tvo.org/article/your-federal-election-questions-answered,
4,N/A,,,How will the pandemic affect the election?,https://www.tvo.org/article/your-federal-election-questions-answered,
5,How does mail-in voting work in <country>?,<country>,,How does mail-in voting work?,https://www.tvo.org/article/your-federal-election-questions-answered,
6,Are more people expected to vote by mail in <year> in <country>? ,"<year>, <country>",,Are more people expected to vote by mail this year? ,https://www.tvo.org/article/your-federal-election-questions-answered,
7,What goes into the cost of an election in <country>?,<country>,,What goes into the cost of an election?,https://www.tvo.org/article/your-federal-election-questions-answered,
8,N/A,,,Can Parliament be recalled after being dissolved? ,https://www.tvo.org/article/your-federal-election-questions-answered,
9,N/A,,,Why do some media outlets refer to Justin Trudeau as the “Liberal leader” during the election period?,https://www.tvo.org/article/your-federal-election-questions-answered,
10,N/A,,,What’s the story behind “strategic voting”? ,https://www.tvo.org/article/your-federal-election-questions-answered,
11,I feel apathetic about the different party platforms and am not sure if I’m going to vote. What should I do?,,,I feel apathetic about the different party platforms and am not sure if I’m going to vote. What should I do?,https://www.tvo.org/article/your-federal-election-questions-answered,
