Question Category - stakeholder,Question sub-category,Q No.,Question - general,Parameters,Region(s) Applicable - Assumption as well as from source,Reference to country specific tab
Voter Questions (1),Voter-what (1.1),,,,,
,,1,Why does election matter (in <region>)?,<region>,<region> = * ,"IND-Q1, IDN-Q5"
,,2,How much are election workers paid (in a <region>)?,<region>,<region> = * ,IND-Q2
,,3,Who will win the elections in <region> in <year>?,"<region>, <year>",<region> = * ,IND-Q3
,,4,Are elections democratic in <region>?,<region>,<region> = * ,IND-Q4
,,5,Does election in <region> involve betting?,<region>,<region> = * ,IND-Q5
,,6,Can election in <region> be hacked?,<region>,<region> = * ,IND-Q8
,,7,Is there a holiday for election (in <region>)? ,<region>,<region> = * ,IND-Q9
,,8,What happens if I cannot come to the polling station (in <region>) ?,<region>,<region> = * ,IRE-Q10
,,9,"In <region>, how many seats are each of the main parties contesting?",<region>,<region> = * ,UK-4
,,10,"What counts as a ""fair"" election?",,,IDN-Q6
,,11,What are the most populated (in terms of number of voters) and least populated seats being contested in the general elections (in <region>)?,<region>,<region> = * ,UK-Q1
,,12,Why have other countries discontinued their internet voting projects?,,,EST-Q29
,,13,Is it safe to vote over the internet (in <region>)?,<region>,<region> = * ,EST-Q48
,,14,Why don't other countries use voting over the internet at national elections?,,,EST-Q50
,,15,Can permanent residents in <region> vote in elections?,<region>,"<region> = {US, Canada}",SA-Q15
,,16,"I have registered to vote in <region>, but I do not want to vote. Will anything happen to me if I do not vote?",<region>,<region> = * ,
,,17,Are more people expected to vote by mail in <year> in <region>? ,"<year>, <region>","year = *, <region> = * ",CA-Q6
,,18,I feel apathetic about the different party platforms and am not sure if I’m going to vote. What should I do?,,,CA-Q11
,,19,"Is it that big of a deal, historically or otherwise, not to have the results of the election on Election Day?",,,USA-Q2
,,20,Should we put a first-class stamp on our ballot if we don't drop it into a vote box?,,,USA-Q6
,,21,What about adding drive-thru voting so people can feel safe remaining in their vehicles?,,,USA-Q10
,,22,What kind of access do <foreign country> people have to the election system? Can they manipulate vote totals or voter lists?,<foreign country>,<foreign country> = * ,USA-Q12
,,23,Is it better to vote by mail or vote in person?,,,USA-Q14
,,24,Will we know the winner on election night?,,,USA-Q17
,,25,Why do so few people vote in <region> elections?,<region>,<region> = * ,USA-Q18
,,26,I received my <region> ballot and at the end it says I have to have a witness sign. Is this true? Do you have to have a witness in everywhere or just in <region>?,<region>,<region> = * ,USA-Q20
,,27,What measures are being taken to stop <candidate> from rigging the election?,<candidate>,<candidate> = * ,USA-Q26
,,28,What happens if my voting location closes due to a Covid surge?,,,USA-Q33
,,29,Will <news organization> project states on election night like they do every year? Will there be too many mail-in ballots cast that the number of in-person votes cast just won’t be enough to project a winner?,<news organization>,<news organization> = *,USA-Q36
,,30,"In <region>, can I send my mail-in ballot by <mail service>, and can I put the ballots of my other family members in the same <mail service> envelope?",<region>,"<region> = * , <mail service> = *",USA-Q39
,,31,It is past the voter registration deadline and I havent updated my registration. Can I still vote?        ,,,
,,32,"Why do ballots still show candidates that have “suspended” their campaigns? And, what happens to votes cast for those candidates in <region>?",<region>,<region> = * ,USA-Q44
,,33,Why do ballots have a district number beside the office of President in <region>?,<region>,<region> = * ,USA-Q49
,,34,It's almost Election Day in <region> and I still have my absentee ballot. What should I do?,<region>,<region> = * ,USA-Q54
,,35,What hours are polling places open on Election Day in <region>?,<region>,<region> = * ,USA-Q56
,,36,What do I take with me to vote in <region>?,<region>,<region> = * ,USA-Q57
,,37,What if I dont have one of these Photo IDs in <region>?,<region>,<region> = * ,USA-Q58
,,38,What happens if I have a Photo ID but don't bring it when voting in person in <region>?,<region>,<region> = * ,USA-Q59
,,39,A candidate is listed more than once on my ballot. Is this correct?        ,,,USA-Q63
,,40,I saw a candidate/member of candidates campaign at my polling place talking to voters. Can they do that?,,,USA-Q64
,,41,Are there any laws about candidates posting their signs along the roadway?        ,,,USA-Q65
,,42,"A candidate is definitely campaigning while in the polling place, or there is campaign material within 500 feet of the entrance. What can I do?        ",,,USA-Q66
,,43,I've lost my non-photo voter registration card. Can I still vote in <region>?,<region>,<region> = * ,USA-Q60
,,44,Can candidates or their representatives take people to the polls to vote?        ,,,USA-Q67
,,45,Can I take my child with me to vote in <region>?        ,<region>,<region> = * ,USA-Q68
,,46,Are ballot selfies legal in <region>? Can I take a picture of my ballot and share it with others?        ,<region>,<region> = * ,USA-Q69
,,47,"When I left the polls, I was asked to participate in an ""exit poll."" Is this legal in <region>?        ",<region>,<region> = * ,USA-Q70
,,48,What are official results?        ,,,USA-Q72
,,49,Is the voting system connected to the internet in <region>?        ,<region>,<region> = * ,USA-Q75
,,50,Where can I report an issue or file a complaint about the election?        ,,,USA-Q76
,,51,"I can't find an answer to my question, are there other resources available in <region>?        ",<region>,<region> = * ,USA-Q78
,,52,What are my voting rights in <region>?        ,<region>,<region> = * ,USA-Q79
,,53,What are the registration qualifications to vote in <region>?        ,<region>,<region> = * ,USA-Q80
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Voter-how (1.2),,,,,
,,1,Is there somewhere where we can enter the name of an <elected-representative> and see the <elected-representative> 's full voting records in the <house>?,"<elected-represetntative>, <house>","<elected-represetntative> = *, <house> = *",UK-Q7
,,2,How many seats are each of the main parties contesting for in <region>?,<region>,<region> = *,UK-Q4
,,3,Would it be possible to vote at a polling place and also online at home in <region>?,<region>,<region> = *,EST-Q7
,,4,Where do I get an ID card in <region>?,<region>,<region> = *,EST-Q8
,,5,"If my ID card is not valid (is expired, suspended or annulled). How can I get new ones in <region>?",<region>,<region> = *,EST-Q9
,,6,How is the voter identified in <region>?,<region>,<region> = *,EST-Q19
,,7,How would the voters of advanced age vote as actively as the young?,,,EST-Q36
,,8,How can I still vote in <region> if I cannot get to the voting station on Election Day because I am heavily pregnant?,<region>,<region> = *,SA-Q1
,,9,How can I vote in <region> if I registered but am now in prison?,<region>,<region> = *,SA-Q2
