Q No.,Question - general,Parameters,Region(s) Applicable - Assumption,Question - specific,Source,Region(s) Applicable - Known
1,N/A,,,Who can vote in a presidential election?,https://www.citizensinformation.ie/en/government-in-ireland/elections-and-referenda/types-of-elections-and-referendums/,
2,Who can run for President of <country>?,<country>,,Who can run for President of Ireland?,https://www.citizensinformation.ie/en/government-in-ireland/elections-and-referenda/types-of-elections-and-referendums/,
3,N/A,,,How does the presidential election work?,https://www.citizensinformation.ie/en/government-in-ireland/elections-and-referenda/types-of-elections-and-referendums/,
4,How much can a candidate spend in <country>?,<country>,,How much can a candidate spend?,https://www.citizensinformation.ie/en/government-in-ireland/elections-and-referenda/types-of-elections-and-referendums/,
5,N/A,,,How often are general elections held?,https://www.citizensinformation.ie/en/government-in-ireland/elections-and-referenda/types-of-elections-and-referendums/,
6,N/A,,,Who can run as a candidate in a general election?,https://www.citizensinformation.ie/en/government-in-ireland/elections-and-referenda/types-of-elections-and-referendums/,
7,N/A,,,How much can candidates spend on their campaign?,https://www.citizensinformation.ie/en/government-in-ireland/elections-and-referenda/types-of-elections-and-referendums/,
8,N/A,,,When can candidates put up election posters?,https://www.citizensinformation.ie/en/government-in-ireland/elections-and-referenda/types-of-elections-and-referendums/,
9,N/A,,,"How to vote in a general election?
",https://www.citizensinformation.ie/en/government-in-ireland/elections-and-referenda/types-of-elections-and-referendums/,
10,What happens if I cannot come to the polling station (in <country>)?,<country>,,What happens if I cannot attend the polling station?,https://www.citizensinformation.ie/en/government-in-ireland/elections-and-referenda/types-of-elections-and-referendums/,
11,N/A,,,"How to vote in a local election?
",https://www.citizensinformation.ie/en/government-in-ireland/elections-and-referenda/types-of-elections-and-referendums/,
