Q No.,Question - general,Parameters,Region(s) Applicable - Assumption,Question - specific,Source,Region(s) Applicable - Known
1,Can I vote in <country> if I can't get to my voting station on Election Day because I'm heavily pregnant?,<country>,,Can I vote if I can't get to my voting station on Election Day because I'm heavily pregnant?,https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
2,Can I vote if I registered but am now in prison in <country>?,<country>,,Can I vote if I registered but am now in prison?,https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
3,N/A,,,Can I vote if I registered but have lost my ID with the sticker in it?,https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
4,Can I vote if I turn 18 soon AFTER election day in <country>?,<country>,,Can I vote if I turn 18 soon AFTER election day?,https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
5,Can I vote if I will be in another town or province on election day in <country>?,<country>,,Can I vote if I will be in another town or province on election day?,https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
6,Can I vote if I will be out of the country on Election Day in <country>?,<country>,,Can I vote if I will be out of the country on Election Day?,https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
7,Can I vote if I will be out of the country on government service on Election Day in <country>?,<country>,,Can I vote if I will be out of the country on government service on Election Day?,https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
8,Can I vote if I'm a <country> citizen but no longer live in <country>?,<country>,,Can I vote if I'm a South African citizen but no longer live in SA?,https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
9,Can I vote if I'm bedridden and unable to go to my voting station on Election Day in <country>?,<country>,,Can I vote if I'm bedridden and unable to go to my voting station on Election Day?,https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
10,Can I vote in <country> if I'm in hospital?,<country>,,Can I vote if I'm in hospital?,https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
11,N/A,,,Can I vote if I've lost my registration sticker?,https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
12,N/A,,,Can I vote if my new ID book has not arrived yet?,https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
13,N/A,,,Can I vote on behalf of someone who is unable to get to their voting station?,https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
14,N/A,,,Can I vote with my temporary registration certificate (TRC)?,https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
15,Can permanent residents in <country> vote in the elections?,<country>,,Can permanent residents vote in the elections?,https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
16,N/A,,,I am living overseas and voted in the last national and provincial elections. Can I vote in the municipal elections?,https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
17,N/A,,,How does the IEC ensure security and non-intimidation at voting stations?,https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
18,I am blind. Can someone help me at the voting station in <country>?,<country>,,I am blind. Can someone help me at the voting station?,https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
19,"I have registered in <country>, but I don't want to vote. Will anything happen to me if I don't vote?",<country>,,"I have registered, but I don't want to vote. Will anything happen to me if I don't vote?",https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
20,N/A,,,I'm in the SANDF/SAPS and on duty on Election Day. When will I vote?,https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
21,Will election day be a public holiday in <country>?,<country>,,Will election day be a public holiday?,https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
22,Are posters of political parties allowed in registration stations in <country>?,<country>,,Are posters of political parties allowed in registration stations?,https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
23,Can I register at any time before the election in <country>?,<country>,,Can I register at any time before the election?,https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
24,Can I register at my nearest voting station in <country>?,<country>,,Can I register at my nearest voting station?,https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
25,N/A,,,Can I re-register after the voters' roll closes?,https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
26,N/A,,,Can I still register if I can't register over the registration weekend?,https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
27,Can people wear party colours in the registration station in <country>?,<country>,,Can people wear party colours in the registration station?,https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
28,How do I know if I'm registered to vote in <country>?,<country>,,How do I know if I'm registered?,https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
29,How do I register to vote in <country>?,<country>,,How do I register?,https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
30,"I am 17 years old now, but will turn 18 around the time when the elections will be held. Will I be able to vote in <country>?",<country>,,"I am 17 years old now, but will turn 18 around the time when the elections will be held. Will I be able to vote?",https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
31,"I can't apply for an ID because I don't have a birth certificate, so my right to vote is being denied in <country>. What can I do?",<country>,,"I can't apply for an ID because I don't have a birth certificate, so my right to vote is being denied me. What can I do?",https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
32,N/A,,,"I have my old blue/TBVC ID, drivers' licence or passport. Can I register with it?",https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
33,"I have registered to vote in <country>, but am moving to a new home. Must I register again?",<country>,,"I have registered, but am moving to a new home. Must I register again?",https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
